,altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d
0,71,2013-08-15 00:18:08+00,851,-150.4697531,49.4198595,2.1207332,0.15
1,68,2013-08-15 00:48:07+00,851,-136.151141,49.4198799,2.120746,2.438360105
2,68,2013-08-15 01:17:58+00,851,160.7974773,49.4203105,2.1208847,0.596657356
3,73,2013-08-15 01:47:51+00,851,32.76936027,49.4203586,2.120859,0.310161248
4,69,2013-08-15 02:17:42+00,851,45.19122951,49.4203313,2.1208865,0.193132079
5,54,2013-08-15 02:47:38+00,851,-46.34447763,49.4203748,2.1208399,2.904771936
6,57,2013-08-15 03:02:33+00,851,-56.36992228,49.4203523,2.1209006,3.08058436
7,65,2013-08-15 03:17:27+00,851,-79.17022692,49.4203425,2.1208091,2.199659064
8,59,2013-08-15 03:32:35+00,851,-57.68242788,49.4203195,2.1208604,2.640075756
9,107,2013-08-15 03:47:48+00,851,119.6047385,49.4202865,2.1213013,4.592210797
10,61,2013-08-15 04:03:39+00,851,-119.3713596,49.4203351,2.1208502,0.230217289
11,56,2013-08-15 04:18:40+00,851,-130.0331186,49.4208572,2.1212357,0.622414653
12,57,2013-08-15 04:33:53+00,851,-110.1814479,49.4209551,2.1213622,1.897630101
13,68,2013-08-15 04:49:06+00,851,-105.5503735,49.425733,2.1529454,1.275343091
14,74,2013-08-15 05:04:45+00,851,-50.4798221,49.4257764,2.1529886,1.634655927
15,78,2013-08-15 05:20:09+00,851,-75.13771503,49.4257494,2.1530522,0.152315462
16,77,2013-08-15 05:35:04+00,851,132.0972863,49.4257417,2.1530974,1.188486432
17,72,2013-08-15 05:49:58+00,851,-69.25909529,49.42579,2.1529929,1.006479011
18,74,2013-08-15 06:04:56+00,851,-7.478072513,49.4258178,2.1530093,1.43850617
19,93,2013-08-15 06:19:54+00,851,71.02650367,49.4294224,2.1628171,8.901078586
20,84,2013-08-15 06:34:50+00,851,156.0820322,49.4366665,2.1938755,0.850058821
21,90,2013-08-15 06:49:43+00,851,-169.1605004,49.4367554,2.19488,0.02236068
22,84,2013-08-15 07:04:40+00,851,-141.8515158,49.4367142,2.1948623,1.016710382
23,85,2013-08-15 07:19:35+00,851,-78.42034409,49.4367615,2.1948357,3.209143188
24,87,2013-08-15 07:34:31+00,851,-154.1177302,49.4367053,2.1948661,0.598163857
25,149,2013-08-15 07:49:29+00,851,111.2398967,49.4343982,2.2342231,10.06113811
26,90,2013-08-15 08:04:56+00,851,177.8890544,49.3890273,2.2479799,0.070710678
27,56,2013-08-15 08:19:52+00,851,179.6145001,49.3798818,2.2245809,8.781030691
28,66,2013-08-15 08:34:47+00,851,9.674338668,49.3869064,2.2525242,0.775241898
